df,icao,type_code,info
17,816B83,28,Other DF17 type
17,FF89FF,0,Other DF17 type
17,8BFF26,31,Other DF17 type
17,848972,31,Other DF17 type
17,267B00,29,Other DF17 type
17,E23D62,0,Other DF17 type
17,427F00,30,Other DF17 type
17,60E800,31,Other DF17 type
17,7D94AC,31,Other DF17 type
17,0DFF84,29,Other DF17 type
17,8FD200,31,Other DF17 type
17,92FFEE,28,Other DF17 type
17,794C5E,7,Other DF17 type
17,74AF7E,31,Other DF17 type
17,6C4A67,0,Other DF17 type
17,90AC32,31,Other DF17 type
17,FFE1FF,0,Other DF17 type
17,8A8800,29,Other DF17 type
17,849FBA,31,Other DF17 type
17,FF6F6A,7,Other DF17 type
17,F021F8,5,Other DF17 type
17,E37976,6,Other DF17 type
17,8AC630,31,Other DF17 type
17,A4EB71,28,Other DF17 type
17,8D59CC,6,Other DF17 type
