msg_index,hex_msg,df,icao,type_code,info
81156,8D816B83E7DFDDFF2F21A2986F71,17,816B83,28,Other DF17 type
82523,89FF89FF009000C83B0000105100,17,FF89FF,0,Other DF17 type
108846,8F8BFF26FF6AA6A0C0FF9CB06366,17,8BFF26,31,Other DF17 type
209133,8C848972FF00A86B649592717778,17,848972,31,Other DF17 type
261457,8A267B00E900FF97FF8F56A576CE,17,267B00,29,Other DF17 type
371552,8EE23D6200FF0057001300009C00,17,E23D62,0,Other DF17 type
398520,8F427F00F142FF38B5A15F728F88,17,427F00,30,Other DF17 type
398542,8960E800FF78FF92FFDF83FC80FF,17,60E800,31,Other DF17 type
416451,8E7D94ACFFFFAAFF3CD300FD7277,17,7D94AC,31,Other DF17 type
483076,8F0DFF84EA51BCF3DCC43AEC66F7,17,0DFF84,29,Other DF17 type
693381,8E8FD200FF1EB38DE8D6B6B85B6C,17,8FD200,31,Other DF17 type
975699,8D92FFEEE4CA40FF70FF990075B4,17,92FFEE,28,Other DF17 type
1126517,8F794C5E3C207F537B8DB663F97D,17,794C5E,7,Other DF17 type
1560904,8E74AF7EFF26FFB08CA95DA56BFF,17,74AF7E,31,Other DF17 type
1639624,8A6C4A670007600F858CAF60FF4F,17,6C4A67,0,Other DF17 type
1677068,8990AC32FC21B67B6C7EA8CF8AFF,17,90AC32,31,Other DF17 type
1700548,88FFE1FF03D71DFF0241007E6D00,17,FFE1FF,0,Other DF17 type
1740744,8E8A8800E8007CF274527C8B8076,17,8A8800,29,Other DF17 type
2206961,8A849FBAFFAD55D577FF34A500C7,17,849FBA,31,Other DF17 type
2327273,8DFF6F6A3D9F00B9002D937F8D37,17,FF6F6A,7,Other DF17 type
2554921,89F021F82FC680570050621A9400,17,F021F8,5,Other DF17 type
2927540,8DE3797631D7149B2C4A001A7F18,17,E37976,6,Other DF17 type
2927541,8C8AC630FF4BD3A7BED7A8EF5B6A,17,8AC630,31,Other DF17 type
2927553,8EA4EB71E1B29BDCA7FF38CF7D71,17,A4EB71,28,Other DF17 type
3124062,8D8D59CC33C8787583884F307B72,17,8D59CC,6,Other DF17 type
